width;height;bbox
2076;1412;2591683.9443745282,1227506.364713718,2604367.999959878,1236133.4776648327
2435;1233;2604073.2001000633,1256185.3046568383,2606332.1496188883,1257329.1587663705
2541;1249;2607495.399493272,1237951.4967605735,2609104.281489247,1238742.324628725
2298;1125;2633910.179151487,1248283.6046122415,2634140.1580286776,1248396.1921826676
2353;1318;2604863.1981408694,1218952.9262807684,2609829.387686415,1221734.6678111677
2453;1411;2623535.8794995993,1238439.0497380774,2624818.7262313813,1239176.9611683846
2335;1401;2597733.794439456,1235781.8269513263,2603562.0650618277,1239278.7893247497
2063;1288;2628110.822647165,1238630.8030292143,2628143.039017066,1238650.9167880274
2482;1103;2607198.305590523,1234154.2392243054,2608123.582661805,1234565.4320565471
2189;1265;2625521.4539996916,1234648.9744249831,2625597.1685926057,1234692.72908923
1923;1129;2594598.779574529,1225525.0422103684,2595973.76235529,1226332.299391585
1985;1120;2597700.194631903,1259923.8995374106,2603851.526779519,1263394.676366292
2244;1334;2612422.91979111,1240663.4442369668,2623006.030124535,1246954.8297916856
1980;1152;2615336.469128355,1224647.3082754053,2615378.4612884657,1224671.7400776516
2442;1273;2611160.0603203457,1234387.0343182927,2611364.984293231,1234493.8599601777
2205;1146;2594876.4976691087,1246350.332706984,2605125.5541067203,1251677.0531956477
2470;1308;2614012.2932228567,1224525.3145517432,2614056.6741761817,1224548.8166922089
2292;1437;2614234.7173446044,1221932.368140248,2625414.226309507,1228941.510541018
1986;1146;2603513.189043225,1236750.3546979104,2603560.7696173517,1236777.8105579054
2097;1205;2594803.0116247,1258206.2271609316,2599865.798902474,1261115.4587630858
2121;1399;2608263.6554889977,1230278.0527871202,2621070.7409115415,1238725.5362883646
2420;1180;2595641.4726665765,1222733.9482775652,2611741.9941854216,1230584.6157950186
2289;1254;2621613.305420456,1236650.3027243689,2623929.092301114,1237918.9775816626
2069;1097;2605629.6472569355,1240398.7045044762,2613950.598756579,1244810.5381415517
2547;1260;2615603.211773759,1254979.476202468,2617680.5207147854,1256007.1202015625
2419;1382;2636850.863516693,1246916.7054485993,2644623.6545571284,1251357.3822645901
2139;1083;2617792.354970597,1257320.6873696435,2617891.426671497,1257370.848497308
2383;1156;2601247.341833025,1243153.126560542,2618257.5753277317,1251404.8386544914
2171;1400;2609463.243720892,1237567.9167780448,2623942.0335646747,1246904.7688191757
1957;1154;2609632.92032758,1252197.6513757317,2629860.4832726833,1264125.401829819
1957;1088;2599361.8563111206,1248128.800323076,2613885.8046354917,1256203.432810003
2505;1166;2608211.0482328553,1245212.2749301982,2608270.358776791,1245239.8821534435
2003;1360;2628255.9323616493,1241436.417174284,2628317.6844208594,1241478.3456817858
2360;1394;2610304.938402351,1226212.3748155097,2614824.50142218,1228881.981107731
2001;1398;2596173.8558485545,1253403.7905754352,2598610.025652498,1255105.8222525532
2313;1217;2593356.162774084,1219908.371052184,2605299.9723588107,1226192.6841799885
2392;1120;2612957.044943299,1226513.4576599596,2641991.462838527,1240108.168380133
2139;1399;2626693.4961467343,1238231.3702171717,2626812.284261661,1238309.0628645692
2194;1385;2630685.347418176,1242407.9447285575,2639187.1422959045,1247774.8480583904
2159;1288;2605375.6066532247,1221993.5407373758,2609032.014797425,1224174.8532384087
2442;1086;2592624.4113679365,1257233.3167658423,2609251.0700117773,1264627.4819121205
1951;1237;2605556.469790135,1223464.9906419565,2605579.11115393,1223479.3460325326
2208;1193;2601018.6734342882,1249528.8036972862,2602308.538126547,1250225.7278720434
2317;1391;2606723.960813025,1225033.42544942,2606814.1063268697,1225087.5438826347
2341;1320;2643540.693141345,1247282.9670424997,2646273.6979596633,1248824.0035056267
2555;1114;2613168.5115574277,1257979.2927036048,2616135.8514496577,1259273.0761243268
1955;1336;2617875.0816901214,1249635.0145843439,2631143.4325949056,1258702.2866093013
2028;1149;2607936.1943107336,1221477.7682751615,2617977.045238392,1227166.5935788497
1993;1181;2638171.5566072646,1246804.1291986476,2638636.69261127,1247079.756705286
2379;1191;2591948.049723072,1231071.8601435744,2597806.1669658106,1234004.6124075935
2357;1126;2616783.792449183,1248877.5606862442,2644845.44436932,1262283.3392446125
2362;1394;2606681.518005444,1221597.2174183044,2642629.9353439608,1242813.175830621
1999;1309;2606364.3920083856,1225047.4713758053,2631172.84557047,1241292.7268599318
2128;1333;2624569.8559550107,1220812.825295742,2648972.737779246,1236099.0289948515
2369;1434;2610959.191655825,1240413.704860697,2611373.89274772,1240664.7311864789
2001;1318;2610787.77968858,1240663.4786161645,2610815.0921086567,1240681.4685060503
2259;1240;2608523.5689503155,1228965.582381412,2641000.0400516405,1246792.419108124
2015;1397;2641537.040715626,1247466.0160726612,2641571.547165927,1247489.9394032173
2279;1439;2638330.2941157497,1249700.5545170554,2638357.5313745304,1249717.7525931355
1934;1362;2631967.055860607,1242075.4728532254,2632055.0030174386,1242137.4087516766
2148;1093;2633167.5639211144,1248898.0395036126,2634317.564538177,1249483.212070861
2032;1242;2616660.400990721,1259455.9370242546,2619396.821588982,1261128.4933151205
2241;1411;2640924.8538587755,1244147.9510950928,2642243.228870282,1244978.0390653007
2327;1209;2616328.778550221,1259158.705011094,2616418.826895459,1259205.4899055474
2055;1210;2599959.671826644,1230938.0201993005,2599984.665133791,1230952.7364531436
2401;1353;2601122.329522184,1247141.482194631,2601708.0815472743,1247471.5623653708
2432;1200;2618343.571767556,1238672.052558103,2627484.5638779537,1243182.4105073125
2239;1206;2606814.5473827734,1235596.3074816014,2607777.833843987,1236115.1656648186
2327;1277;2617411.5622995244,1258829.6076355942,2620921.231291699,1260755.6271040116
1964;1200;2601292.6400703513,1248368.9218556369,2601336.613512918,1248395.7895394862
1938;1410;2602375.761567119,1210638.2459591508,2613916.0840789457,1219034.4558361762
2226;1399;2638076.05814102,1246804.8431614777,2647071.2294839434,1252458.1426712484
2189;1440;2618115.3722004374,1254262.4388395979,2637263.15948178,1266858.5163567902
2258;1106;2614123.2975890804,1222176.1692070889,2619997.8205686416,1225053.5927745795
2275;1408;2598430.1124896077,1245263.2691983953,2614839.1333206925,1255418.8302226444
2223;1354;2624870.405281692,1230989.2730088723,2644499.8346471805,1242945.2997119185
2379;1153;2627885.249584294,1236251.500288579,2628114.8536642846,1236362.7796093982
2318;1351;2596358.5127898334,1227656.0111333437,2596712.5104092937,1227862.3315750568
2009;1247;2619893.9625816625,1258575.6430952763,2624330.0461782273,1261329.1504347073
2403;1251;2618701.4482699996,1242783.8881324679,2626903.818516463,1247054.0359386792
1989;1124;2596899.797440932,1223573.6631622864,2597298.6063677557,1223799.033315001
2309;1205;2603958.636164216,1216124.9925316256,2618661.531974088,1223798.0065857163
2256;1121;2599789.4063633922,1215707.3482990223,2600380.2543463856,1216000.9389856071
2381;1270;2614862.787058541,1234847.501427324,2627418.5993743413,1241544.6377738449
2169;1229;2627184.516203227,1239092.5768822078,2627543.639470329,1239296.0635098093
2268;1141;2632350.252951616,1243893.0703941481,2632761.1258800686,1244099.7749846969
1996;1086;2592789.8141060104,1231452.661317001,2599772.690521628,1235251.961811671
2472;1321;2609693.994975899,1237993.64466899,2612261.496892913,1239365.679471731
2303;1317;2605276.6262074523,1255421.0248334229,2609612.9889688967,1257900.8293305233
2375;1374;2643188.9320550477,1245330.9770789843,2646233.4170262273,1247092.291752837
1965;1269;2602346.7608216805,1227355.346970832,2604826.095805618,1228956.505288703
2067;1334;2613446.921965422,1249844.5778920092,2639255.7813364603,1266501.0938092638
2491;1261;2616464.7892770567,1213489.8861416643,2641019.4406282655,1225920.000695608
2267;1295;2617783.445501794,1243004.6083623525,2638721.27100181,1254965.12182619
2180;1333;2592773.622514423,1234760.9089555526,2637822.783413846,1262307.0243128603
2145;1258;2623621.5231814086,1247156.0240589154,2637870.7777260384,1255512.9295214533
2388;1167;2613323.3357242066,1231550.1232359442,2625818.7676593903,1237656.5591942188
1995;1362;2611666.6536821215,1246858.6638207901,2613458.7021500724,1248082.1074365037
2241;1303;2638106.4650072847,1244432.1750323079,2638303.2423543492,1244546.5886348179
2254;1141;2593714.116980274,1235887.48926812,2603815.8005351974,1241001.0744216992
1985;1176;2621689.282830486,1222594.1373687144,2642854.011848769,1235133.0397996972
2222;1163;2611815.610103046,1241028.2831290239,2639841.7419472174,1255697.2261239705
2099;1244;2628035.5938678044,1242130.7379347782,2628147.131518344,1242196.8421926496
2155;1381;2614306.926091446,1251621.2576764468,2615156.9994187704,1252166.0146439802
1955;1433;2611797.167323735,1223937.109655377,2614125.2883770415,1225643.6045246292
2285;1122;2616002.3312343033,1253680.106394904,2616235.796006308,1253794.744239188
2545;1365;2601991.333524217,1234579.7281794718,2616411.68306275,1242314.0217433607
2328;1425;2602267.8860873347,1229102.5847490479,2610403.8449060656,1234082.7141806164
2001;1348;2638645.078128716,1238017.6587652739,2642947.6874842467,1240916.1682161766
2468;1282;2612874.630025357,1223370.9815234535,2625014.676379773,1229677.1158129026
2421;1155;2637087.4684679937,1251391.4790084558,2639746.4193864428,1252659.9995829328
1920;1301;2601224.7998184124,1232294.357463078,2601301.0677755065,1232346.0369485887
2524;1292;2596471.63810165,1218819.900688931,2639508.074793883,1240849.6456201377
2018;1239;2630547.332950814,1241238.1595475404,2630578.1790393633,1241257.0982510648
1930;1210;2591035.1097369418,1245054.338541756,2605446.481777423,1254089.4474376016
2335;1169;2623584.8281725394,1234374.2557555644,2624872.929773419,1235019.134030266
1942;1406;2615598.218490266,1225077.4375683349,2616131.4558579368,1225463.4992258763
2499;1156;2633951.8883322254,1244524.9366110468,2636288.5924798707,1245605.860978665
2417;1224;2634279.093334145,1241906.8025872095,2635510.1230287515,1242530.2119153843
2052;1089;2610905.4294140027,1244407.5768846946,2632500.8024906977,1255868.2792631162
2510;1349;2600252.27989915,1248241.552598782,2607557.0444342038,1252167.4997532787
2409;1142;2613762.453114525,1244859.596079632,2637416.87613567,1256073.1083627983
2422;1341;2617678.144450885,1238740.7206106049,2631483.700031267,1246384.506751518
2064;1103;2596353.303961095,1254795.1370383333,2601940.7880416666,1257781.0841996078
2314;1339;2603226.6696268045,1226307.8524319122,2604943.209124314,1227301.1309051902
2426;1284;2597415.370081041,1255049.0687485754,2621776.6925571337,1267942.6953187746
2218;1199;2619385.260665141,1239278.1179840486,2633624.998063746,1246975.7938816715
2094;1330;2623761.1433854965,1234363.5366365574,2629406.7187251407,1237949.312759636
2289;1326;2619054.330392168,1222607.9832672996,2619126.2688894896,1222649.6566825237
2419;1361;2604565.4312908286,1234544.7822067975,2612942.1400918104,1239257.7630576184
2050;1281;2616857.3829898722,1229037.2519562,2648215.4622542458,1248632.2273404251
2368;1167;2603546.693568597,1255836.0488469712,2611214.008556575,1259614.662272212
2060;1206;2608780.7339125774,1220486.1956565923,2622354.636690916,1228432.8591277946
2207;1208;2630760.7797835823,1238816.5878080528,2631018.9341773335,1238957.8884458651
2499;1086;2592597.312851425,1250844.3635726157,2596442.7830980686,1252515.5043040505
2110;1277;2602144.018616742,1239217.7227929134,2608082.1835454362,1242811.579008052
2407;1244;2599571.419625198,1260155.9090417244,2602202.279137125,1261515.6054409088
2379;1427;2615780.521258753,1240871.8090303298,2648730.1809984706,1260636.0647884537
2148;1214;2596485.220142032,1216267.9154115948,2607190.1070123026,1222318.0702814776
2007;1299;2601057.300844482,1256725.353601175,2601115.7969981004,1256763.2143403627
2195;1332;2605269.126820496,1224872.856757751,2616938.253743502,1231954.0763757208
2519;1131;2604577.5337865385,1220872.961350174,2605611.402496548,1221337.1556776932
2003;1358;2612215.763681859,1246482.1501580416,2612248.269296321,1246504.1884128791
2031;1212;2602107.8420514246,1236457.0326355414,2621641.858424694,1248113.9641197373
1988;1119;2609761.7152635213,1220997.5215403505,2638033.384681223,1236911.001459067
2539;1341;2631150.8319903263,1239876.1951960376,2631770.528063269,1240203.4943034877
2537;1339;2600026.7170821247,1228143.2008312698,2601150.557432126,1228736.3510987717
2467;1312;2595613.195179836,1222596.6893740809,2597208.9823968923,1223445.360970667
1939;1282;2592508.3269277383,1225615.7996680264,2603265.5298570767,1232728.0916512196
1984;1411;2624436.4622285813,1232132.2721421607,2639622.6710113334,1242932.5446182005
2060;1406;2604345.177393285,1228456.5027405743,2604384.6491224947,1228483.4431538119
2261;1326;2599380.5803579087,1218504.5512991345,2599410.2162908805,1218521.9317711026
1925;1129;2600904.6887307763,1246887.115455077,2605606.0131229833,1249644.4116830258
2531;1204;2612846.52977759,1250827.139645644,2613617.222672523,1251193.7592606181
2350;1213;2596200.0496444213,1212590.0283453064,2632583.694975234,1231370.1822969131
1967;1130;2624679.0141034173,1239165.4490248659,2637950.8360138796,1246789.8307019486
2538;1361;2593586.2413700167,1238748.0683463474,2627722.5314582586,1257053.62028098
2215;1223;2615739.0986393774,1238769.983114078,2621802.5633448707,1242117.8916173822
2119;1233;2612635.187644491,1247275.396401482,2613659.6442753654,1247871.5054273752
2480;1132;2607997.7157841823,1230270.205985709,2608263.0326222978,1230391.310284397
1950;1123;2598058.5446061394,1233028.585903132,2607113.1508027497,1238243.1103948208
2543;1120;2615263.910296167,1230994.1247803958,2615302.492264355,1231011.117231977
2266;1432;2608434.778123278,1237152.9663422073,2633750.705806585,1253151.3813653735
2220;1389;2635407.7242279197,1249453.798211254,2635539.9633560353,1249536.5370170886
2182;1153;2607493.1949011176,1233095.6146073032,2607698.977340367,1233204.3529906461
2020;1404;2602783.8218554067,1218154.1357041125,2602811.603928399,1218173.4456201924
2127;1382;2613263.5469716513,1257092.9243928422,2614395.7057562782,1257828.53484905
2163;1326;2599596.9896856747,1228300.0187034064,2599890.8880076003,1228480.1893806478
2145;1174;2609929.9465699093,1252475.58056039,2634105.052147585,1265707.08356654
2326;1170;2638069.1937160995,1250124.4190942624,2649368.0084210057,1255807.8297583812
2486;1200;2633384.3351896475,1250780.8026972022,2644333.4085405464,1256065.9547571694
2374;1244;2637720.6036077924,1244501.0161195204,2644724.516940793,1248171.1375122129
2000;1288;2610802.594337106,1229923.3941059306,2617550.1551754787,1234268.823285842
1932;1418;2620220.7298451164,1226449.1814756845,2630692.1128442516,1234134.6996396459
1942;1213;2609736.0850383746,1251456.957443904,2620431.3452865374,1258137.3645917007
2511;1108;2604424.724314075,1243140.2077920868,2609575.2743572155,1245412.9315865112
2336;1428;2616355.898636511,1256793.8321498744,2616443.917915163,1256847.6384554887
2138;1162;2600029.448903994,1230412.057804948,2616833.94827156,1239545.2796314734
2508;1330;2625351.6069919523,1240130.8495544647,2628364.8741087206,1241728.7942375992
2435;1137;2630372.0704519833,1236829.8891708427,2636895.147755428,1239875.7778336834
2362;1243;2607312.0890135504,1234692.5268466028,2623669.6581877368,1243300.6803112573
2342;1081;2613517.5332275466,1252008.3672379302,2613941.603975225,1252204.1061270162
1932;1258;2596248.323010532,1252650.8125295327,2603568.3934517745,1257417.1938002794
2445;1398;2611072.290261074,1251224.8510242298,2611117.84805159,1251250.9000185619
1968;1333;2596330.2319654073,1222465.0493189173,2607801.672481703,1230235.084993827
2341;1151;2608012.0921082916,1224644.6387987805,2620650.050447285,1230858.346636534
2558;1162;2631620.801200808,1244362.621256392,2634550.2166369427,1245693.3408563877
2274;1299;2606837.6880595116,1240481.5106096384,2608447.121195498,1241400.8833641005
2187;1302;2618749.722391543,1223186.5341627582,2618823.9395924844,1223230.718339999
1936;1142;2608352.246540777,1247096.7463209927,2612129.8004087596,1249325.0348113007
2443;1282;2603552.509446294,1248048.9188621389,2635000.2052775417,1264551.5574440705
2079;1210;2601909.0949314623,1222411.9878462336,2602491.382721768,1222750.885501967
2366;1241;2613504.4499105634,1257359.3641794173,2614391.911242609,1257824.8500260224
2342;1111;2595084.638131854,1229634.481498172,2595123.959711152,1229653.1349032102
2021;1159;2626600.8419060446,1234647.4263875142,2638841.5311786337,1241667.1982167724
2386;1419;2609257.9903606027,1250586.6926040116,2609472.597689558,1250714.3237019947
2402;1089;2600069.5338511746,1249079.3918701173,2601562.8843225213,1249756.4354435126
2541;1224;2611052.658532311,1231355.612252486,2616024.569676811,1233750.5824377942
2551;1423;2610407.1057492634,1225159.4367582973,2612099.9004721157,1226103.7122936242
2314;1284;2623252.155026013,1239753.854953453,2623278.3073592074,1239768.3664468937
2540;1284;2602167.970677324,1259187.0175969638,2602322.1492784745,1259264.9567008526
2171;1309;2616428.119820894,1248159.398655927,2623102.371218614,1252183.6248556578
2396;1399;2643807.3487861995,1244669.1674603433,2646156.749146331,1246040.958405178
2523;1372;2611051.9909737054,1240159.6751835693,2611164.1178786345,1240220.6494655993
2366;1286;2604627.055968299,1234855.41991412,2604723.164886853,1234907.658320401
2038;1106;2610056.4046081803,1244923.9318803756,2610589.364258966,1245213.1631727058
1958;1364;2599327.900171914,1220104.9750438863,2599430.354837659,1220176.3479571017
2058;1160;2628563.829404765,1239123.4468341826,2631394.8926079664,1240719.1870264632
2217;1404;2612383.803729361,1242339.9526481368,2613602.0853573084,1243111.4760606936
2439;1424;2625167.8798179934,1239313.932429621,2633567.0944791827,1244217.778955875
2435;1437;2615813.232904075,1258608.8935918966,2616062.6803599526,1258756.1034457348
2338;1313;2602612.708959836,1246478.6724221834,2613742.436671116,1252729.0284892966
2119;1340;2600228.5553309727,1216259.8623589869,2600609.3510213536,1216500.667561965
2135;1091;2594013.1599678434,1250571.856946882,2606045.298642275,1256720.3643444485
2388;1114;2607048.3265554807,1220728.880937676,2635164.5720793228,1233845.085926604
2177;1300;2602050.4794976492,1249881.7023276642,2604656.3308349545,1251437.79178035
2364;1134;2604347.677677749,1213078.5996274338,2646589.5560842524,1233341.8357158327
2305;1209;2619266.167643805,1240243.3973130793,2644957.28623523,1253718.6955243736
2155;1118;2616390.3700454882,1216745.2817904018,2634175.3169088424,1225971.996682852
2118;1198;2626057.7336346735,1249357.8707493043,2644596.32005062,1259843.8133962846
2109;1273;2614632.970645721,1244113.4911784085,2624989.692543364,1250364.845837346
2240;1104;2622260.6765777227,1236144.0353201677,2646443.2543830676,1248062.5915242305
1933;1383;2641689.3880609153,1243300.8231110892,2641715.4357009167,1243319.4593687828
2280;1414;2602698.681809619,1226280.9741194127,2610405.7939979425,1231060.7358011184
2340;1150;2631580.7761264523,1243897.896678634,2634162.9964448246,1245166.9365786887
2195;1174;2610039.5910849287,1246534.6165202216,2611487.756417874,1247309.170552512
2497;1155;2606182.4482615353,1251729.6612615674,2615488.1422412903,1256034.0571552864
2136;1091;2625366.151322957,1239756.340156901,2626330.021772635,1240248.654136582
2161;1285;2622410.293245765,1250743.9665439702,2637427.831972622,1259673.8773556366
2527;1440;2603428.646019717,1216719.8897804765,2617826.860466338,1224924.6498925204
2489;1193;2600119.7360339924,1247710.8153764326,2600908.756066617,1248088.9997472325
2250;1283;2616608.972661104,1223884.0593826696,2617068.4543035915,1224146.0660259193
2063;1270;2618515.4158593216,1223702.9554084549,2625930.5275916704,1228267.7600134392
2537;1174;2609940.6920399074,1237238.185477568,2647293.1298068655,1254523.0739042175
2280;1134;2598415.1041667843,1220059.3396362623,2607211.1428288426,1224434.2114971282
2461;1279;2630810.757271002,1239098.0621567327,2630888.369538163,1239138.397829101
2002;1233;2606041.228972865,1220689.2644740797,2638677.529095152,1240789.4433206234
2288;1325;2605806.6329871174,1250657.1464385379,2610858.7060565567,1253582.8443480686
2247;1378;2639727.093843929,1252640.7127272377,2643862.807321862,1255176.989172539
2138;1360;2614469.6329590394,1260033.3217985495,2618330.6340119787,1262489.3374355924
2234;1164;2631748.756828708,1242995.3974317429,2639088.2000007895,1246819.5298633915
2006;1166;2613988.0184203493,1227067.4199616432,2619506.1527519585,1230274.869927075
2387;1319;2612182.1838784902,1249921.5738058288,2614665.7475243243,1251293.9326030032
2051;1291;2613389.4694833294,1253718.5231653347,2613507.524642507,1253792.8328730373
2442;1317;2628948.072736552,1238868.4538138313,2629068.928753322,1238933.6329186987
1991;1422;2632506.2929021725,1244849.2240398796,2632800.25672778,1245059.1771086962
2361;1195;2606333.2439253596,1233642.9536089292,2608308.8804322747,1234642.9051657966
1926;1370;2603682.657502669,1222297.1206041556,2622829.9339274364,1235916.9382064044
2136;1096;2598353.7107421895,1256628.6462126765,2609164.375848324,1262175.6916042138
2101;1272;2592958.667871882,1238386.1263194142,2607615.6896825936,1247259.8682248045
2385;1225;2637356.7978417957,1242939.2899871422,2638193.663264502,1243369.12652501
2520;1112;2626976.2926024897,1233971.8956914432,2633094.3846854856,1236671.6252137814
2239;1339;2620561.9067046135,1232067.432186168,2624670.8779115877,1234524.7401120893
1941;1310;2640661.6815306884,1243666.8768634915,2640688.832698381,1243685.2014537428
2421;1172;2598501.2244441127,1246655.8224942582,2600306.4499436114,1247529.7276100833
1952;1392;2593039.9751583743,1232748.1684296692,2613943.426047684,1247654.7276704067
2014;1278;2611835.0605322905,1243088.177496025,2620966.077473988,1248882.3381968637
2083;1142;2609052.266642685,1253460.679296736,2610479.207997605,1254242.9966406238
2423;1194;2625473.5675351755,1235423.068945265,2631736.8355532163,1238509.466804753
2113;1103;2605658.69433066,1211183.9651772238,2643905.8906373153,1231149.2550618618
1952;1082;2596153.0029012086,1222560.7672044733,2599699.5471846946,1224526.6283288235
2392;1284;2597787.141990907,1217633.0992172994,2603749.9657247956,1220833.8791814768
2227;1190;2601196.1663416326,1232134.4750896487,2601364.7290473348,1232224.5467644515
2141;1299;2631715.17340482,1238287.2022555668,2632932.389855079,1239025.7189154855
2302;1210;2607491.261724648,1252207.258216504,2630108.6155742034,1264095.615365923
2252;1243;2629927.7050058288,1246977.7443527947,2630127.3517862917,1247087.9401556882
2316;1217;2610056.1481113094,1225953.035069831,2616428.1137251803,1229301.3434256518
2216;1419;2618070.576560744,1253447.6799456084,2618532.4755491884,1253743.4537112236
2286;1112;2628941.0871399576,1239461.200734565,2630404.0851143952,1240172.860291684
2477;1328;2604810.0998567366,1258588.2382262608,2614391.5739839314,1263725.1771204534
2373;1315;2640273.7887271536,1245417.8823553422,2640999.2073758044,1245819.8737261705
2056;1280;2605596.1822339436,1225895.6025828035,2608245.7276990004,1227545.1250513215
2485;1426;2642125.0461196364,1245425.597851311,2644534.319691394,1246808.1427661309
2540;1258;2620341.8647855446,1223748.5943490022,2644877.8482388183,1235900.6680435764
2209;1255;2603783.324293122,1227609.038073183,2613577.4177986016,1233173.3600964407
2334;1228;2612963.463302508,1218401.6187981397,2629729.107536928,1227222.61756415
2289;1142;2594529.4321445343,1215252.3582084281,2615375.3395716134,1225652.5444389763
1950;1346;2606623.473435872,1227053.638150199,2633311.120001607,1245474.9572668553
2505;1286;2622124.911344867,1238102.5794687008,2622583.357109474,1238337.933262427
2056;1213;2605980.2417586846,1235127.643263871,2606915.6918416712,1235679.540613415
2369;1373;2592293.6608198276,1215601.2825677907,2627173.8986540567,1235816.8024269706
2253;1103;2632313.9147592047,1243056.780720872,2632448.6593788955,1243122.7475719678
2047;1115;2596177.9540890167,1248812.7373658838,2607525.006019146,1254993.4715632922
2279;1406;2600273.779393402,1216318.7707152292,2601180.63477889,1216878.2435857845
2053;1280;2596979.84629658,1225703.9541550558,2599641.8599222344,1227363.6606532717
2431;1395;2604088.1036821404,1222535.2390790926,2609026.527248575,1225369.0938200126
2555;1125;2611134.940954629,1240410.7433217163,2613896.7965182834,1241626.8245385895
2073;1342;2614573.927404752,1223246.00661376,2614688.9292470105,1223320.45546678
2343;1214;2612311.4163969266,1251079.8761121936,2612753.0191500927,1251308.6877819945
2547;1327;2613487.507018665,1245541.2791340398,2634920.9728576746,1256708.224233516
2169;1423;2599392.3978272257,1225308.9508382939,2599734.828679856,1225533.6069486178
1923;1413;2591493.249859704,1260731.6658916767,2603385.5274477093,1269469.985305016
2448;1147;2612803.4423655015,1251107.1381385212,2612888.6248664535,1251147.050037456
2486;1397;2606434.4828744247,1247934.7361042576,2607347.5490356884,1248447.8308054984
1991;1361;2602530.245828948,1258142.394858964,2602600.040340609,1258190.1047185173
2485;1348;2607727.253385394,1215762.1403067259,2620899.2950715516,1222907.3766016716
2315;1316;2636012.125900097,1240667.033863798,2639148.5603396883,1242449.9918432801
2558;1264;2595076.847599573,1250149.9328939759,2597626.615216833,1251409.8649769376
2162;1208;2625000.4272357603,1241388.5400411447,2627078.144887852,1242549.4479614624
2229;1282;2613312.663269176,1231089.2755727486,2613337.6782467607,1231103.6628321756
2314;1379;2632103.6505882638,1231964.5112942487,2647996.92066692,1241435.9112244418
1977;1290;2602797.965735544,1221663.1812122378,2611831.714347536,1227557.7364522323
2107;1348;2596538.0776228383,1230130.345297201,2599784.984006592,1232207.6256983876
2340;1349;2617454.587593308,1255644.426748579,2617481.846567827,1255660.1414308972
2542;1159;2636669.8126763306,1250648.212852987,2648666.0768261035,1256117.7919834303
2302;1175;2597174.828972281,1246185.2381317746,2610802.177755123,1253140.9874019045
1940;1155;2596845.3526978116,1249266.998273087,2613910.2457452253,1259426.7670719342
2424;1384;2605486.803265534,1248660.382633109,2605543.233987504,1248692.602154234
2362;1104;2613288.607777629,1224985.1280776819,2613437.2720520534,1225054.6138350756
2022;1203;2605725.9548711674,1231178.0998650198,2616035.72824522,1237311.9561305912
2152;1436;2604256.0430207355,1236689.8380247452,2604485.475469702,1236842.9351421786
2457;1301;2624306.4754597177,1236047.1537608688,2624367.068571866,1236079.2382699877
2395;1225;2643201.2326097605,1249112.204515484,2643427.9364314727,1249228.1594973619
2381;1369;2610278.249124011,1241859.0443235496,2619156.536199311,1246963.7797313975
1946;1415;2609439.8373963884,1243164.6300497653,2611934.3613807666,1244978.4797095263
1922;1296;2610113.2528569466,1232644.0617217254,2610204.164137059,1232705.3629803238
2290;1424;2609897.603808782,1240177.3277285236,2609941.175132528,1240204.4218617172
2359;1250;2615390.659408692,1258996.1120147223,2617195.710054401,1259952.582259375
2519;1155;2632950.600132515,1247869.449687257,2632999.5624644984,1247891.8996648039
2244;1289;2616608.1949124625,1253375.597805925,2623108.7585546533,1257109.6559765057
2513;1337;2603685.751632042,1223620.336353159,2610202.319321762,1227087.3681880794
2502;1343;2617873.500634996,1239312.0538677413,2622879.181078462,1241998.955880361
1926;1213;2629587.512674549,1247482.2925523971,2645998.669276253,1257818.083288569
2407;1248;2613450.6695999024,1246625.4444366593,2613524.317168662,1246663.6297984424
2079;1237;2601231.087040147,1256583.9144920807,2601292.450104854,1256620.4253680033
2473;1235;2617287.0521299504,1257311.9607019885,2617315.0806463873,1257325.9579594894
1938;1324;2615406.184014978,1219454.640156965,2643160.6871898314,1238415.9209637276
2206;1247;2600625.2996549457,1230003.057689933,2614992.1400804473,1238124.2952287365
2377;1334;2606606.1874704477,1223552.187722995,2608474.5557381823,1224600.7376889847
2266;1098;2615935.8527375087,1217183.8338317685,2630387.784909643,1224186.57942974
2200;1298;2618430.291257966,1223676.9219027692,2644326.820458289,1238955.87413096
2154;1169;2596164.8371521514,1252330.7567806053,2600280.6655144356,1254564.4630737854
2097;1390;2627076.639797633,1241800.8501252823,2634205.941706035,1246526.5199644233
2438;1080;2598218.4756146944,1223881.8387638056,2600070.7227919414,1224702.3584321514
2066;1353;2598677.122499047,1231317.0092826434,2602693.5962897427,1233947.3524766471
2244;1293;2593035.9877911923,1229403.3711704453,2613856.484331177,1241400.2080805167
2005;1199;2602890.996883826,1223685.1303085843,2630956.6948166206,1240468.5576509386
2355;1326;2603837.7657145336,1232199.0131729513,2610907.428250068,1236179.6384477362
2503;1266;2608405.107937195,1244453.310757546,2608486.320059465,1244494.3872844314
2028;1081;2631681.026825683,1246726.844989199,2647788.62240683,1255312.7970716546
2297;1400;2600161.190021064,1215778.9828679163,2600185.9950304134,1215794.1012889391
1967;1365;2615274.042225896,1222288.5191137984,2635332.6362001733,1236208.1839713932
2174;1400;2605801.601324164,1223818.9182809528,2605911.9507643175,1223889.9804779238
2101;1082;2643140.1687163915,1247083.554801026,2643213.3989042677,1247121.267824958
